cycle_number,capacity_ah,soh
1,5.1031518637913535,100.0
2,5.088933381224352,99.7213784158005
3,5.07745137906815,99.49638017035006
4,5.067991154116812,99.31100013064437
5,5.060469286918596,99.16360363140268
6,5.053728655923717,99.03151602800003
7,5.047305114438033,98.90564202587086
8,5.040839083058422,98.77893540313659
9,5.03437522728456,98.6522714129911
10,5.02802031250001,98.52774220135542
11,5.021906253939775,98.40793274391766
12,5.016119219951588,98.29453157258963
13,5.010623354749522,98.18683606697356
14,5.005338993541921,98.0832851371042
15,5.000176733685835,97.98212687268504
16,4.995124483450359,97.883124327389
17,4.9901340280338475,97.78533269684942
18,4.985158613941779,97.68783581208356
19,4.980240963793143,97.59147085411458
20,4.975439002650269,97.49737290698222
21,4.970785061315182,97.40617551644189
22,4.966249999149336,97.31730765032913
23,4.96188397079574,97.2317521256234
24,4.9576883750646275,97.14953635303624
25,4.953614233138609,97.06970055675265
26,4.949658565500439,96.99218635094904
27,4.945674587349924,96.91411737991208
28,4.94177566842528,96.83771520673147
29,4.937826522281446,96.76032879438786
30,4.933862344715695,96.68264783031782
31,4.929813759048186,96.60331282764557
32,4.925667123526669,96.52205646623999
33,4.92143862946505,96.43919602676098
34,4.917198363492321,96.35610490805814
35,4.913011650993602,96.27406320891873
36,4.908923586972839,96.1939545989875
37,4.905027392008274,96.11760580380056
38,4.9013079750041975,96.04472110227977
39,4.8977969809580415,95.97592060133705
40,4.894418939092464,95.90972539579073
41,4.891181758419875,95.84629046853415
42,4.888037929227614,95.78468483193596
43,4.884963044004344,95.72443020292742
44,4.881965230967323,95.66568585988148
45,4.878949017366177,95.60658094429888
46,4.8759682725670555,95.54817106588096
47,4.873011280064954,95.49022663112719
48,4.870046638113112,95.43213229980074
49,4.867072725678583,95.37385630657332
50,4.864073972884279,95.31509354829481
51,4.8610352700257025,95.25554793923432
52,4.857927016500829,95.19463943390592
53,4.8547399632216495,95.132186789653
54,4.851494199717176,95.06858367551676
55,4.84819609567802,95.00395491025195
56,4.844826603236288,94.9379272369303
57,4.841435110171587,94.87146844528108
58,4.838015230842901,94.80445340398961
59,4.834615497620986,94.73783314042196
60,4.831240980028548,94.67170699559016
61,4.827922643750287,94.60668176477533
62,4.824671664996574,94.54297645400887
63,4.821479532367479,94.48042427617257
64,4.81837160644309,94.41952219041572
65,4.815320312031674,94.35972984065113
66,4.812371340898688,94.30194259050265
67,4.809352560626521,94.24278737912071
68,4.806442252243779,94.1857577538926
69,4.803567105009935,94.12941713714073
70,4.800686314106453,94.07296592854702
71,4.7978615221111385,94.01761205959092
72,4.7950544771287085,93.96260595635604
73,4.792275485116469,93.90814957162726
74,4.789487190531425,93.85351089616812
75,4.7867437613007615,93.79975139020223
76,4.783990600881615,93.74580119446769
77,4.781266130591541,93.69241320283442
78,4.778539942288781,93.63899154548373
79,4.775829527728921,93.58587898618305
80,4.773122978453554,93.5328421699642
81,4.770442365315075,93.48031359135187
82,4.767768601841126,93.42791923693493
83,4.765126182555421,93.37613909485346
84,4.7624267653329975,93.32324203643792
85,4.759792032918276,93.27161252422576
86,4.757178211950925,93.22039278714725
87,4.754524088878488,93.16838330078903
88,4.751890688287907,93.11677988664677
89,4.7492903606738555,93.06582456171314
90,4.746691520889561,93.01489839189378
91,4.744078170642067,92.96368787891576
92,4.7414951700876955,92.91307209041261
93,4.738913727437616,92.86248683018559
94,4.736339946184031,92.81205170063659
95,4.73377636398422,92.76181642901945
96,4.731231362223561,92.71194525472191
97,4.72868091346547,92.66196734251854
98,4.726170710133447,92.61277806892795
99,4.7236335526523625,92.56306060903643
100,4.721122369543679,92.51385213600426
101,4.71860954181246,92.46461143538846
102,4.716108175679439,92.41559533318761
103,4.713625533841972,92.36694614727797
104,4.711177627876594,92.31897763623392
105,4.708690708681022,92.27024463235807
106,4.706230949280491,92.22204384456683
107,4.703757062165733,92.17356621386351
108,4.7013127212917105,92.1256675633968
109,4.698900393785194,92.0783962383235
110,4.696488704687519,92.03113742333925
111,4.694048563012707,91.98332105925796
112,4.691646768095851,91.93625612799661
113,4.689248616920849,91.88926259852674
114,4.68687443586798,91.84273878116372
115,4.6844973379910115,91.79615780649519
116,4.682123785776907,91.74964631168851
117,4.6797722496569,91.7035662383775
118,4.677414034885856,91.65735529200578
119,4.675066535495398,91.61135432136814
120,4.672744727921868,91.56585680070832
121,4.670401453382051,91.51993861911463
122,4.668081578647047,91.47447897384198
123,4.665766818985345,91.42911956217866
124,4.663480036056094,91.38430837508707
125,4.6611639568911505,91.33892310679089
126,4.658892913342435,91.29442034439361
127,4.656598502456291,91.24945968189748
128,4.654317546056376,91.2047626699175
129,4.652074778612057,91.16081399850461
130,4.649790365368637,91.11604924714322
131,4.647528858114205,91.07173335541995
132,4.645285573142657,91.0277745426818
133,4.643034418487059,90.98366151771833
134,4.640802310959317,90.93992173518157
135,4.63857774540555,90.8963297431511
136,4.636342600259002,90.8525304362481
137,4.634151254775378,90.8095894158334
138,4.631906267634685,90.76559724784362
139,4.629693037966386,90.72222739079501
140,4.627485138888419,90.67896199056986
141,4.625279920200786,90.6357491145573
142,4.623078282167935,90.59260640409883
143,4.620872141795032,90.54937546698807
144,4.618679063748762,90.50640049573882
145,4.616499725185106,90.4636947597187
146,4.614303002851526,90.42064837598933
147,4.612114788481885,90.37776871204738
148,4.609943975340188,90.33523003791738
149,4.607750310090266,90.29224355998231
150,4.6055596288813305,90.24931555651686
151,4.603375971631963,90.20652519268582
152,4.601201931628442,90.16392328583396
153,4.59901747486762,90.12111725499012
154,4.596852953330495,90.07870186946177
155,4.594656920534359,90.03566899772385
156,4.5924859286541775,89.99312682108229
157,4.5903033063825465,89.95035673839834
158,4.588117140761382,89.90751722118397
159,4.585936200018655,89.864780089291
