simulation_index,param_file,cycle_detail_csv,life_detail_csv,80soh_cycle,Initial SEI thickness [m]__multiplier,SEI solvent diffusivity [m2.s-1]__multiplier,Lithium plating kinetic rate constant [m.s-1]__multiplier,Dead lithium decay constant [s-1]__multiplier,Negative electrode critical stress [Pa]__multiplier,Negative electrode LAM constant proportional term [s-1]__multiplier,Initial SEI thickness [m]__value,SEI solvent diffusivity [m2.s-1]__value,Lithium plating kinetic rate constant [m.s-1]__value,Dead lithium decay constant [s-1]__value,Negative electrode critical stress [Pa]__value,Negative electrode LAM constant proportional term [s-1]__value
16,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000016.csv,life_soh_csv/sim_000016.csv,613,1.2313684184555798,18.312015708059135,42.72585528300654,9.253933786791459,0.8385089281077542,1.1573372087081086,6.156842092277899e-09,4.5780039270147835e-21,4.2725855283006544e-08,9.253933786791457e-06,50310535.686465256,4.629348834832434e-06
17,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000017.csv,life_soh_csv/sim_000017.csv,379,1.0839306140648566,9.335494775568279,35.68597587392205,12.033257534988639,0.935252285728698,2.5098615679062424,5.419653070324283e-09,2.3338736938920693e-21,3.568597587392205e-08,1.2033257534988638e-05,56115137.14372188,1.0039446271624969e-05
18,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000018.csv,life_soh_csv/sim_000018.csv,433,1.9019158158375968,17.826799823087203,13.658369415843326,44.15852928761251,1.184234736989373,2.246176687576897,9.509579079187984e-09,4.4566999557718e-21,1.3658369415843327e-08,4.415852928761251e-05,71054084.2193624,8.984706750307587e-06
19,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000019.csv,life_soh_csv/sim_000019.csv,218,1.7063532893586122,24.814656190978226,9.133159256412391,29.457394033769685,0.8036259901688239,2.883465310353891,8.531766446793061e-09,6.203664047744556e-21,9.133159256412392e-09,2.9457394033769683e-05,48217559.41012943,1.1533861241415564e-05
20,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000020.csv,life_soh_csv/sim_000020.csv,278,1.4741113049168084,14.616517985500694,22.179556563447882,49.241155696705704,0.9050180733115959,1.9269627082903973,7.370556524584042e-09,3.6541294963751736e-21,2.2179556563447883e-08,4.92411556967057e-05,54301084.39869575,7.70785083316159e-06
21,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000021.csv,life_soh_csv/sim_000021.csv,582,1.1089780695974694,7.756010343021098,17.603093316395864,27.002510856394025,1.061842412819683,1.4400953615034529,5.544890347987347e-09,1.939002585755274e-21,1.7603093316395865e-08,2.7002510856394025e-05,63710544.76918098,5.7603814460138115e-06
22,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000022.csv,life_soh_csv/sim_000022.csv,521,1.822652026259635,13.928069669656038,29.45373239118627,19.29995416144437,1.0303084924331136,1.5488317156204463,9.113260131298176e-09,3.482017417414009e-21,2.9453732391186272e-08,1.9299954161444367e-05,61818509.54598682,6.195326862481785e-06
23,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000023.csv,life_soh_csv/sim_000023.csv,875,1.3176231111982772,21.58884894588934,45.601311441350525,35.291292922391214,1.1019304552614784,1.1122804881445847,6.588115555991386e-09,5.397212236472334e-21,4.560131144135053e-08,3.5291292922391216e-05,66115827.3156887,4.449121952578338e-06
24,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000024.csv,life_soh_csv/sim_000024.csv,332,1.222623434091124,9.556625490832243,42.99936698281321,10.156285528190708,0.8621818954128274,2.433875612874721,6.11311717045562e-09,2.3891563727080603e-21,4.2999366982813206e-08,1.0156285528190707e-05,51730913.724769644,9.735502451498884e-06
25,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000025.csv,life_soh_csv/sim_000025.csv,362,1.5857949453697513,26.911428568384878,36.49686219727708,13.767619460974919,0.9539700635031104,2.5524834054298715,7.928974726848757e-09,6.727857142096219e-21,3.6496862197277085e-08,1.3767619460974917e-05,57238203.810186625,1.0209933621719485e-05
26,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000026.csv,life_soh_csv/sim_000026.csv,841,1.1615592496724427,28.62690313323158,5.470839074887047,19.5724956361778,0.9986142496506591,1.0684653400437134,5.807796248362214e-09,7.156725783307894e-21,5.470839074887047e-09,1.95724956361778e-05,59916854.97903955,4.273861360174853e-06
27,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000027.csv,life_soh_csv/sim_000027.csv,265,1.6267772637149394,19.167619291036665,44.641347187884314,37.83543289040941,0.8893570155976156,2.414621989555231,8.133886318574697e-09,4.791904822759166e-21,4.464134718788432e-08,3.7835432890409404e-05,53361420.93585694,9.658487958220923e-06
28,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000028.csv,life_soh_csv/sim_000028.csv,234,1.3242567454943575,24.064193161347557,16.4046325439869,30.25505620863948,0.8151627861322742,2.8430952563520355,6.621283727471788e-09,6.0160482903368885e-21,1.64046325439869e-08,3.025505620863948e-05,48909767.16793645,1.1372381025408142e-05
29,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000029.csv,life_soh_csv/sim_000029.csv,849,1.8924334057021912,23.413182724130547,35.59057908796531,6.0781470865625336,1.0612886441512663,1.308134511789817,9.462167028510956e-09,5.853295681032636e-21,3.559057908796531e-08,6.0781470865625334e-06,63677318.64907598,5.232538047159268e-06
